ID,N_VICTIMAS,AÑO,MES,DIA_SEMANA,DIA_SEMANA_NOM,HORA,TIPO_DE_CALLE,VIAS_INVOL,INTERSECCION,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO,LONGITUD,LATITUD
2016-0107,1,2016,8,5,SÁBADO,8.366666666666667,AUTOPISTA,['AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI'],0,4,MOTO-AUTO,MOTO,AUTO,-58.37157668,-34.65429986
2016-0109,1,2016,8,2,MIÉRCOLES,5.75,AUTOPISTA,"['AUTOPISTA PERITO MORENO', 'BARRAGAN']",1,9,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,-58.52280139,-34.63659934
2016-0110,1,2016,8,2,MIÉRCOLES,20.35,AVENIDA,"['ALBERDI, JUAN BAUTISTA AV.', 'CARHUE']",1,9,PEATON-SD,PEATON,SD,-58.51232237,-34.6590353
2016-0111,1,2016,8,3,JUEVES,9.5,AUTOPISTA,"['LUGONES', 'LA PAMPA']",1,15,MOTO-CARGAS,MOTO,CARGAS,-58.47461905,-34.57663634
2016-0112,1,2016,8,5,SÁBADO,4.666666666666667,AUTOPISTA,"['AUTOPISTA 25 DE MAYO', 'AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI']",1,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,-58.38268809,-34.62282019
2016-0113,1,2016,8,5,SÁBADO,16.75,AVENIDA,"['ALBERDI, JUAN BAUTISTA AV.', 'GUARDIA NACIONAL']",1,9,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.49603546,-34.64564271
2016-0114,1,2016,8,2,MIÉRCOLES,11.333333333333334,CALLE,"['SALGUERO, JERONIMO']",0,14,BICICLETA-CARGAS,BICICLETA,CARGAS,-58.41848605,-34.59394733
2016-0115,1,2016,9,4,VIERNES,11.833333333333334,CALLE,"['ARIAS', 'TRONADOR']",1,12,SD-CARGAS,SD,CARGAS,-58.48935041,-34.54917673
2016-0116,1,2016,9,4,VIERNES,20.333333333333332,AVENIDA,"['27 DE FEBRERO AV.', 'ESCALADA AV.']",1,8,MOTO-AUTO,MOTO,AUTO,-58.44451316,-34.68475866
2016-0117,1,2016,9,5,SÁBADO,15.5,AVENIDA,"['DEL LIBERTADOR AV.', 'TAGLE']",1,14,AUTO-AUTO,AUTO,AUTO,-58.39936478,-34.58271474
2016-0118,1,2016,9,6,DOMINGO,3.5,AUTOPISTA,['AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI'],0,1,AUTO-AUTO,AUTO,AUTO,-58.37936704,-34.62694503
2016-0119,1,2016,9,6,DOMINGO,6.666666666666667,AVENIDA,"['LARRALDE, CRISOLOGO AV.', 'TRIUNVIRATO AV.']",1,12,SD-SD,SD,SD,-58.49659234,-34.56353635
2016-0122,1,2016,9,1,MARTES,7.166666666666667,AVENIDA,"['PERON, EVA AV.']",0,9,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,-58.47256391,-34.65194557
2016-0123,1,2016,9,2,MIÉRCOLES,9.0,AVENIDA,"['ASAMBLEA AV.', 'BONORINO, ESTEBAN, CNEL. AV.']",1,7,MOTO-AUTO,MOTO,AUTO,-58.45130953,-34.64053676
2016-0124,1,2016,9,4,VIERNES,15.4,AVENIDA,"['RIVADAVIA AV.', 'RIVERA INDARTE AV.']",1,7,PEATON-PASAJEROS,PEATON,PASAJEROS,-58.46271207,-34.62884871
