VIA,N_SINIESTROS
TONELERO,1
"BEIRO, FRANCISCO AV.",1
"AGOTE, LUIS DR.",1
OLAZABAL,1
TAPALQUE,1
BRUIX AV.,1
EZEIZA,1
ESMERALDA,1
3 DE FEBRERO,1
BAIGORRIA,1
TACUARI,1
"LEGUIZAMON, MARTINIANO",1
CHIVILCOY AV.,1
SUPERI,1
PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,1
"BONIFACIO, JOSE",1
ZAPATA,1
GUEMES,1
JARAMILLO,1
PORTELA,1
USPALLATA,1
PIROVANO,1
ALVEAR AV.,1
TREINTA Y TRES ORIENTALES,1
"CRUZ, OSVALDO AV.",1
ALBARI?O,1
"RAMIREZ DE VELASCO, JUAN",1
CA?ADA DE GOMEZ,1
GALLO,1
"ARANGUREN, JUAN F., DR.",1
CHORROARIN,1
COSQUIN,1
GOLETA SANTA CRUZ,1
VILLARINO,1
"MORAN, PEDRO",1
SAN BLAS,1
"SCHMIDL, ULRICO",1
VALLEJOS,1
ECUADOR,1
CASCO,1
DE MAYO AV.,1
SAN NICOLAS,1
"GOYENA, PEDRO AV.",1
"TRELLES, MANUEL R.",1
"DIAZ, CESAR, GRAL.",1
DON BOSCO,1
CACHI,1
HUMAITA,1
GUALEGUAYCHU,1
"PUEYRREDON, HONORIO, DR. AV.",1
GALICIA,1
MANZANARES,1
VALLE,1
PILCOMAYO,1
CERVANTES,1
"BELAUSTEGUI, LUIS, DR.",1
"LOPEZ, VICENTE",1
GALVAN,1
AUSTRALIA AV.,1
ISABEL LA CATOLICA,1
PAVON,1
LOS CEDROS,1
"GUTIERREZ, RICARDO",1
"ACHAVAL RODRIGUEZ, T., DR. AV.",1
"VILLAFLOR, AZUCENA",1
CAMPANA,1
LAUTARO,1
"FERNANDEZ MORENO, BALDOMERO",1
SAAVEDRA,1
ACHUPALLAS,1
VELEZ SARSFIELD AV.,1
"CABRERA, JOSE A.",1
BONPLAND,1
SARMIENTO,1
FOURNIER,1
"SALVADORES, CNEL.",1
RONDEAU,1
"BILBAO, FRANCISCO AV.",1
PLAZA,1
AGUILAR,1
ARGERICH,1
"URIBURU JOSE E., PRES.",1
ARAOZ,1
MADERO,1
MEMBRILLAR,1
"FREIRE, RAMON, CAP. GRAL.",1
"OLAGUER Y FELIU, VIRREY",1
BRANDSEN,1
PERDRIEL,1
"VILARDEBO, TEODORO",1
QUESADA,1
CALIFORNIA,1
"CARBONARI, FRANCISCO, CMTE.",1
"CARRIL, SALVADOR MARIA DEL AV.",1
NAZCA,1
AGUERO,1
HUMBERTO 1?,1
2 DE ABRIL DE 1982,1
"PINEDO, INT.",1
LADINES,1
BLANCO ENCALADA,1
VUELTA DE OBLIGADO,1
GARMENDIA AV.,1
TRONADOR,1
ASAMBLEA AV.,1
IRIGOYEN,1
MIRAVE,1
THAMES,1
SANCHEZ DE LORIA,1
JUNCAL,1
CARABOBO AV.,1
ORTIZ DE OCAMPO,1
CASTANARES AV.,1
"MOREAU DE JUSTO, ALICIA AV.",1
COCHABAMBA,1
"MITRE, EMILIO",1
"SUAREZ, JOSE LEON",1
ZINNY,1
SANTIAGO DE COMPOSTELA AV.,1
FRAGA,1
BERUTI,1
AUTOPISTA PRESIDENTE H?CTOR J. C?MPORA,1
BERON DE ASTRADA,1
"RAWSON DE DELLEPIANE, ELVIRA AV.",1
ZAPIOLA,1
FAMATINA,1
ECHEVERRIA,1
DE LOS ITALIANOS AV.,1
"GUEMES, MACACHA",1
"GALLARDO, ANGEL AV.",1
MU?ECAS,1
CERETTI,1
CIUDADELA,1
CARRASCO AV.,1
ESPINOSA,1
FILIBERTO,1
"MAGARI?OS CERVANTES, A.",1
"SCAPINO, RODOLFO",1
TRES ARROYOS,1
"BOSCH, VENTURA",1
SAN PEDRITO,1
MANZONI,1
VENTANA,1
"NEWBERY, JORGE AV.",1
GUEVARA,1
LANTERI JULIETA,1
BALBASTRO,1
"CASTILLA, RAMON, MARISCAL",1
MEDINA,1
"OBLIGADO RAFAEL, AV.COSTANERA",1
YATAY,1
CHACABUCO,1
SALVIGNY,1
"LAMARCA, EMILIO",1
"CARRILLO, RAMON, DR.",1
CHICLANA AV.,1
"JACQUES, AMADEO",1
ANTARTIDA ARGENTINA AV.,1
AZCUENAGA,1
"ORO?O, NICASIO",1
"ALVAREZ, DONATO, TTE. GRAL.",1
DEHEZA,1
"VALLE, ARISTOBULO DEL",1
QUIRNO,1
"ALVAREZ, DONATO, TTE. GRAL. AV.",1
FORMOSA,1
ANDALGALA,1
BOEDO AV.,1
REPUBLICA DE LA INDIA,1
CIUDAD DE LA PAZ,1
HONDURAS AV.,1
"FILIBERTO, JUAN DE DIOS",1
ASTURIAS AV.,1
GANDARA,1
"GUEVARA, TRINIDAD",1
ARTILLEROS,1
"ACOSTA, MARIANO AV.",1
11 DE SEPTIEMBRE DE 1888,1
"PINO, VIRREY DEL",1
MAURE,1
TILCARA,1
BOLIVAR (NO OFICIAL),1
"CASTRO, EMILIO",1
GORRITI,1
SAN ANTONIO,1
AGRELO,1
MONTE,1
LAFUENTE,1
CARDOSO,1
BACACAY,1
"BLANES, JUAN MANUEL",1
"BRIN, MINISTRO",1
SUAREZ,1
NIZA,1
PIEDRAS,1
GUZMAN,1
TILCARA AV.,1
IBARROLA,1
GRIVEO,1
SANTO TOME,1
URIARTE,1
LOYOLA,1
COMBATIENTES DE MALVINAS AV.,1
"GOMEZ, VALENTIN",1
"BRAVO, MARIO",1
"ARAOZ DE LAMADRID, GREGORIO, GRAL.",1
MONTIEL,1
"ROFFO, ANGEL H., DR.",1
"ANCHORENA, TOMAS MANUEL DE, DR.",1
"DIAZ, CNEL. AV.",1
"DIAZ, ANA",1
SOLDADO DE LA FRONTERA AV.,1
"CARRANZA, ADOLFO P.",1
INCLAN,1
"VIALE, LUIS",1
HOMERO,1
ALTA GRACIA,1
BEAZLEY,1
AUSTRIA,1
"LAS HERAS, GENERAL",1
"CALVO, CARLOS",1
VERA,1
REGIMIENTO DE PATRICIOS AV.,1
"QUINQUELA MARTIN, BENITO",1
"GARCIA GRANDE DE ZEQUEIRA, SEVERO",1
HOLMBERG,1
CURAPALIGUE AV.,1
"DIAZ, AVELINO",1
BOGOTA,1
CHIVILCOY,1
"CASTRO, EMILIO AV.",1
GUARANI,1
SARMIENTO AV.,1
GIRIBONE,1
PAYSANDU,1
GUAMINI,1
POTOSI,1
"YRIGOYEN, HIPOLITO",1
ROOSEVELT FRANKLIN D.,1
COREA AV.,1
"TORRES Y TENORIO, PRES.",1
CASARES AV.,1
PILAR,1
PADRE CARLOS MUJICA,1
